skill_name,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Data scientist,Аналитик,Инженер данных,ML инженер,Big Data
Web API,6343,,,,0.00019411821799475881,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
Знание основ электротехники,6344,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Амбициозность,6345,,,,0.0008735319809764147,0,Data scientist,0.00037444418441376083,3.099045493987852e-05,0.0,6.75949709341625e-05,0.0002518257365902795
WebRTC,6346,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Контроль ведения налоговой отчетности,6347,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
СММ,6348,,,,0.00048529554498689704,1,Аналитик,4.6805523051720103e-05,0.00012396181975951408,5.49964252323599e-05,0.0,0.0
SmartPlant 3D,6349,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Подготовка документации для участия в тендерах,6350,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
менеджер маркетплейса,6351,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Отчетность в ФСС,6352,,,,0.00019411821799475881,1,Аналитик,0.0,6.198090987975704e-05,0.0,0.0,0.0
Служба заказчика,6353,,,,9.705910899737941e-05,2,Инженер данных,0.0,0.0,5.49964252323599e-05,0.0,0.0
Performance Manager,6354,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,3.099045493987852e-05,0.0,0.0,0.0
Моделирование предметной области,6355,,,,9.705910899737941e-05,4,Big Data,4.6805523051720103e-05,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0002518257365902795
глубинное интервью,6356,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Федеральные СМИ,6357,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Windows Forms,6358,,,,0.00038823643598951763,2,Инженер данных,9.361104610344021e-05,0.0,0.0001099928504647198,0.0,0.0
Координация учебного процесса,6359,,,,9.705910899737941e-05,1,Аналитик,0.0,3.099045493987852e-05,0.0,0.0,0.0
Правила GMP/ЕАЭС,6360,,,,9.705910899737941e-05,0,Data scientist,4.6805523051720103e-05,0.0,0.0,0.0,0.0
Креативность,6361,45555.0,79150.0,110000.0,0.01145297486169077,1,Аналитик,0.0020126374912239646,0.0018284368414528324,0.0004399714018588792,0.0018250642152223874,0.0007554772097708386
технический специалист,6362,,,,0.00019411821799475881,2,Инженер данных,0.0,3.099045493987852e-05,5.49964252323599e-05,0.0,0.0
Отчетность в государственные фонды,6363,,,,0.0002911773269921382,3,ML инженер,4.6805523051720103e-05,0.0,0.0,0.000135189941868325,0.0
