skill,skill_id,salary_q25,salary_q50,salary_q75,frequency,popular_profession_id,popular_profession_name,Инженер данных,Аналитик,Аналитик данных,Bi аналитик,ML инженер,Data scientist
ASIC,1212,,,,0.001001001001001001,0,Инженер данных,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0
Умение планировать,1213,,,,0.002002002002002002,1,Аналитик,0.0,0.0009285051067780873,0.000304228780042592,0.0,0.0,0.0
attribution,1214,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Тестирование ПО,1215,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
.NET Framework,1216,,,,0.0025025025025025025,4,ML инженер,0.0002701972439881113,0.0,0.0,0.0007267441860465116,0.002635046113306983,0.0
Ответственное хранение,1217,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Аналитические отчеты,1218,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Behavior Prediction,1219,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
банк,1220,,,,0.0005005005005005005,1,Аналитик,0.0,0.00030950170225936243,0.0,0.0,0.0,0.0
AppMetrika,1221,,,,0.001001001001001001,1,Аналитик,0.0,0.0006190034045187249,0.0,0.0,0.0,0.0
ArcGIS,1222,,,,0.001001001001001001,2,Аналитик данных,0.0002701972439881113,0.0,0.000304228780042592,0.0,0.0,0.0
Оптимизация бизнес-процессов,1223,65000.0,108750.0,155000.0,0.021021021021021023,1,Аналитик,0.0002701972439881113,0.005261528938409161,0.004563431700638881,0.0032703488372093025,0.0,0.0
Architecture,1224,,,,0.0015015015015015015,2,Аналитик данных,0.0002701972439881113,0.0,0.000608457560085184,0.0,0.0,0.0
А/В тесты,1225,,,,0.0005005005005005005,2,Аналитик данных,0.0,0.0,0.000304228780042592,0.0,0.0,0.0
Google AdWords,1226,,,,0.0055055055055055055,3,Bi аналитик,0.0002701972439881113,0.00030950170225936243,0.0,0.0032703488372093025,0.0,0.0
Infinispan,1227,,,,0.0005005005005005005,0,Инженер данных,0.0002701972439881113,0.0,0.0,0.0,0.0,0.0
Рекрутмент,1228,,,,0.0015015015015015015,5,Data scientist,0.0005403944879762226,0.0,0.0,0.0,0.0,0.0026595744680851063
