vacancy_id,query
76281676,"['data scientist', 'Big Data']"
76288991,['машинное обучение']
76291546,"['data analyst', 'data engineer', 'data']"
76327183,"['data analyst', 'business analyst']"
76338336,['business analyst']
76341869,['машинное обучение']
76347722,['машинное обучение']
76350302,['машинное обучение']
76356752,['инженер данных']
76357725,['специалист по данным']
76372199,['аналитик данных']
76373899,['data']
76374001,['data']
76377066,['business analyst']
76382783,"['специалист по данным', 'data analyst']"
76384305,['машинное обучение']
76385926,['инженер данных']
76391927,"['data analyst', 'data']"
76391976,"['data scientist', 'data science', 'data analyst', 'data', 'Big Data']"
76401181,['business analyst']
76404055,"['data analyst', 'Data Architect', 'data']"
76410854,['специалист по данным']
76414718,"['аналитик данных', 'машинное обучение']"
76415530,['data analyst']
76441724,['business analyst']
76450235,['аналитик данных']
76453501,['машинное обучение']
76458560,['Artificial intelligence']
76460014,"['data engineer', 'Data Architect', 'data', 'Big Data']"
76466846,['business analyst']
76468616,['business analyst']
76474517,['машинное обучение']
76481126,['deep learning']
76481216,['business analyst']
76482558,['Artificial intelligence']
76498335,['аналитик данных']
76501607,['инженер данных']
76504825,['Artificial intelligence']
76506011,['специалист по данным']
76506470,['аналитик данных']
76515415,"['data', 'Big Data']"
76530654,['Artificial intelligence']
76531238,['business analyst']
76533535,"['машинное обучение', 'Artificial intelligence']"
76533665,"['машинное обучение', 'Artificial intelligence']"
76533694,['Artificial intelligence']
76533746,['Artificial intelligence']
76536709,"['data scientist', 'data analyst', 'Big Data']"
76540913,['Artificial intelligence']
76542767,['инженер данных']
76548831,['Artificial intelligence']
76552709,['машинное обучение']
76552731,['business analyst']
76558729,['специалист по данным']
76558811,"['машинное обучение', 'computer vision']"
76560622,['машинное обучение']
76561183,"['Natural Language Processing', 'NLP']"
76562395,['data']
76563017,['Artificial intelligence']
76574573,['машинное обучение']
76581770,['Artificial intelligence']
76584790,['специалист по данным']
76590814,['Artificial intelligence']
76592651,['business analyst']
76592729,"['machine learning', 'NLP']"
76595915,['Artificial intelligence']
76596618,['Advanced Analytics']
76597847,['business analyst']
76601321,['машинное обучение']
76602068,['инженер данных']
76606786,['машинное обучение']
76611758,"['data mining', 'data', 'Business Intelligence Developer']"
76611785,['машинное обучение']
76626968,['business analyst']
76645587,['business analyst']
76649926,['Artificial intelligence']
